70,Darnell Mooney,Chi,WR,
71,D'Andre Swift,Det,RB,
72,Devin Singletary,Buf,RB,
73,David Montgomery,Chi,RB,
74,Terry McLaurin,Was,WR,
75,Daniel Jones,NYG,QB,
76,Darrel Williams,KC,RB,
77,Sam Darnold,Car,QB,
78,Dalton Schultz,Dal,TE,
79,Christian Kirk,Ari,WR,
80,AJ Dillon,GB,RB,
81,Amari Cooper,Dal,WR,
82,Davis Mills,Hou,QB,
83,Adam Thielen,Min,WR,
84,Zach Wilson,NYJ,QB,
85,George Kittle,SF,TE,
86,James Robinson,Jax,RB,
87,Eli Mitchell,SF,RB,
88,DeVonta Smith,Phi,WR,
89,Kendrick Bourne,NE,WR,
90,Tyler Boyd,Cin,WR,
91,A.J. Brown,Ten,WR,
92,Myles Gaskin,Mia,RB,
93,Darrell Henderson Jr.,LAR,RB,
94,Jakobi Meyers,NE,WR,
95,Marvin Jones Jr.,Jax,WR,
96,Zach Ertz,Ari,TE,
97,Rob Gronkowski,TB,TE,
98,Van Jefferson,LAR,WR,
99,Tony Pollard,Dal,RB,
100,Kyle Pitts,Atl,TE,
101,Brandon Aiyuk,SF,WR,
102,Dawson Knox,Buf,TE,
103,Hunter Henry,NE,TE,
104,Chase Claypool,Pit,WR,
105,Dallas Goedert,Phi,TE,
106,Justin Fields,Chi,QB,
107,Michael Carter,NYJ,RB,
108,Sony Michel,LAR,RB,
109,K.J. Osborn,Min,WR,
110,Russell Gage,Atl,WR,
111,Tim Patrick,Den,WR,
112,A.J. Green,Ari,WR,
113,Devonta Freeman,Bal,RB,
114,Marquez Callaway,NO,WR,
115,Mike Gesicki,Mia,TE,
116,Saquon Barkley,NYG,RB,
117,DeAndre Hopkins,Ari,WR,
118,Cedrick Wilson,Dal,WR,
119,Chuba Hubbard,Car,RB,
120,Noah Fant,Den,TE,
121,Taysom Hill,NO,QB,
122,Devontae Booker,NYG,RB,
123,Allen Lazard,GB,WR,
124,Chase Edmonds,Ari,RB,
125,Pat Freiermuth,Pit,TE,
126,Courtland Sutton,Den,WR,
127,Jameis Winston,NO,QB,
128,Rashaad Penny,Sea,RB,
129,Cole Beasley,Buf,WR,
130,Elijah Moore,NYJ,WR,
131,Tyler Higbee,LAR,TE,
132,Mike Davis,Atl,RB,
133,T.J. Hockenson,Det,TE,
134,Robert Woods,LAR,WR,
135,Robby Anderson,Car,WR,
